122.4	127.84	128.18	126.82	119	130.56	132.94	125.8	133.28	130.9	130.22	136	133.28	131.58	139.74	136.68	138.04	140.76	135.32	131.92	147.56	153.68	138.04	153.68	154.02	156.06	159.12	160.82	143.48	153	148.24	148.24	149.94	145.52	145.52	138.04	137.36	139.06	133.96	125.12	113.56	120.36	123.76	119	113.56	109.14	107.1	92.14	110.84	104.72	112.54	91.12	103.02	
137.36	132.6	140.76	133.96	138.72	136	143.14	139.06	136.68	140.08	140.08	142.8	143.14	146.2	144.84	149.26	147.22	146.54	157.44	151.98	153	164.22	155.72	168.3	165.58	168.3	170.34	168.64	168.3	166.94	161.84	157.76	162.18	143.86	155.72	147.22	130.58	146.2	133.62	131.58	132.26	124.44	122.74	125.12	114.58	113.9	107.78	102.38	109.48	107.1	112.2	107.44	108.46	
147.56	139.06	148.58	137.7	145.18	145.18	150.96	141.1	152.32	149.6	151.98	139.06	144.84	149.6	149.26	152.66	154.36	158.78	156.4	160.14	174.42	171.36	173.4	172.38	172.04	178.5	191.78	187	182.92	178.16	169.66	174.42	170.34	172.74	161.16	158.1	157.42	145.86	147.22	138.72	132.26	128.18	128.86	125.46	108.8	116.96	122.4	122.74	122.06	121.38	116.62	115.94	115.26	
153.34	143.82	150.62	153.68	155.72	153	132.6	155.04	153	162.52	153.34	159.46	158.44	155.38	157.76	165.58	164.22	162.52	170.68	170	178.18	184.62	191.78	190.76	192.8	203	201.96	203.32	196.52	193.8	185.34	192.78	191.76	191.08	175.44	172.38	166.6	156.06	148.24	148.92	145.18	138.04	137.36	133.28	136.34	119.34	130.22	124.1	123.08	122.74	120.02	116.28	115.6	
158.44	165.92	162.18	161.84	167.28	167.98	164.9	167.96	167.62	165.92	164.22	168.32	162.18	173.74	166.94	172.72	179.52	180.2	180.22	176.8	191.42	195.5	211.5	209.5	215.58	223.46	230.3	238.88	226.24	226.2	212.88	208.82	209.46	193.12	190.4	178.5	179.18	167.28	156.74	154.36	138.04	148.58	133.28	144.5	141.1	140.76	135.66	133.62	128.18	126.82	130.9	126.82	120.7	
170.02	174.76	164.56	175.1	165.94	177.48	160.16	174.76	171.02	173.74	175.44	183.94	179.52	179.86	177.14	190.42	192.82	189.72	204.34	208.9	207.42	219.66	225.5	227.9	243.34	260.84	266.7	254.72	238.62	255.32	247.14	234.82	228.54	218.06	205.04	194.82	195.52	180.2	170.34	162.52	153.34	150.64	149.6	144.16	145.86	140.42	138.72	143.14	140.42	131.24	134.98	135.32	126.82	
181.22	176.12	188.02	174.78	184.3	183.96	188.7	185.64	184.96	183.98	195.52	195.86	195.86	196.54	201.62	203.66	208.12	209.86	209.84	216.3	230.04	233.12	241.66	271.9	272.94	291.18	298.2	296.62	298.32	290.42	268.76	254.06	247.42	235.8	227.94	213.92	208.1	192.78	175.8	171.36	166.6	166.94	159.12	154.7	158.44	151.3	154.36	146.2	142.46	138.38	144.16	136.68	140.76	
193.48	179.86	184.96	195.16	184.28	187.36	198.22	208.1	202.66	198.9	207.42	199.92	215.26	211.56	212.54	213.24	216.26	230.28	245.72	257.38	251.3	278.7	276.12	321.88	330.76	333.5	334.82	339.6	333.18	324.9	297.58	295.16	287.28	268.74	262.96	251.54	228.32	208.42	201.96	193.12	185.98	173.74	175.44	163.2	156.06	164.22	155.72	150.28	152.32	147.22	144.16	149.94	144.84	
202.34	203.34	208.56	198.9	192.14	206.76	217.06	209.9	214.9	221.04	217.98	214	223.1	232	231.04	218.2	238.98	251.26	267.36	275.3	302.12	331.76	349.8	366.84	387.58	391.32	397.78	408.66	414.8	413.44	388.24	351.88	336.9	317.42	299.4	284.24	253.6	243.4	221.4	204.36	206.42	193.8	185.32	182.24	177.82	165.24	157.42	161.16	155.04	149.6	156.4	153.68	155.72	
221.74	223.18	226.22	217.78	217	218.34	231.38	230.36	236.16	232.68	241.64	239.54	254	239.7	256.8	271.58	274.6	283.54	299.98	321.2	370.24	397.78	428.38	463.88	481.92	498.86	528.26	548.9	542.32	516.6	457.02	416.52	397.44	367.86	338.26	318.46	301.38	267.72	250.72	228.64	212.58	206.08	200.94	202.98	190.4	177.5	176.46	168.98	166.6	174.42	166.26	173.06	171.02	
241.3	243.24	248.16	230.74	245.06	240.58	241.3	239.88	244.7	262.6	261.56	270.4	271.2	263.9	276.68	291.8	306.22	320.2	350.84	406.3	437.26	509.72	548.86	604.12	681.78	768.38	872.36	928.86	928.58	824.26	725.68	611.62	500.16	455.62	401.86	372.96	329.34	310.6	291.04	262.2	251.58	232.68	212.9	211.58	203.34	197.22	198.58	189.72	179.52	179.86	178.5	188.36	189.4	
266.64	263.56	262.64	251.6	251.94	248.96	256.02	259.44	257.04	271.5	283.88	292.16	289.72	288.42	298.64	323.6	345.76	361.4	418.88	477.54	549.56	621.48	745.16	955.86	1328	2078.6	3338.42	3877.1	3467.02	2255.42	1393.1	1009.1	768.4	606.18	488.48	421.92	385.2	350.86	320.52	293.84	261.3	245.88	232.04	226.86	220.12	210.84	210.86	206.4	199.24	206.42	209.8	210.82	218.72	
307.54	297.28	291.1	294.84	295.28	289.32	288.34	294.5	297.96	275.12	305.92	306.24	316.46	319.88	324.3	353.92	376.36	419.54	469.6	546.8	692.28	923.8	1467.92	3218	7047.56	11406.6	14059.1	14811.4	14410.3	12133.1	7255.14	2726.74	1186.94	842.3	648.68	507.38	435.86	388.94	352.54	337.9	309.62	276	263.58	257.46	253.44	246.44	238.6	240.94	223.66	231.32	240.22	240.32	246.42	
355.62	340.94	309.52	320.54	314.34	307.92	309.96	326	330.76	327	329.76	330.74	338.96	352.22	381.12	386.56	443.38	494.68	570.76	725.06	1046.3	2270.08	7079.7	13408.9	16565.5	17147.9	17149.9	16845	16729.1	16545.4	15707.8	11067.4	3952.8	1332.36	896.84	659.22	523.16	448.5	414.1	378.4	343.38	322.58	303.76	293.12	282.82	269.82	262.28	269.46	254.62	251.22	270.48	279.04	265.62	
395.4	392.34	376	364.8	360.36	359.36	347.46	352.88	345.08	348.48	355.62	360.38	369.22	381.46	397.78	438.66	477.16	565.26	682.7	994.82	2418.9	9594.88	16214	17309.3	17562.7	17554	17557.5	17465.3	17507.9	17404.9	16985.3	16526.6	11598.2	3707.06	1337.2	867.9	606.5	523.18	471.38	419.54	384.52	364.12	331.46	326.68	298.98	300.68	300.44	302.76	298.28	300.7	301.38	318.84	307.26	
478.16	458.1	454.94	427.7	428.38	405.94	418.52	409	413.08	398.46	401.86	394.04	393.36	420.22	443	498.42	533.74	650.76	856.26	1921.18	8988.42	17101.1	17884.5	17787.8	17615.2	17561.2	17491.6	17410	17349.9	17288.1	17029.7	17184.4	16262.5	9669.34	2470.04	1185.58	768.44	600.32	521.04	452.64	432.14	397.78	371.6	361.74	348.14	336.22	326.66	330.12	334.2	334.82	349.5	341.32	349.5	
